"Any","Id_aforament","Mes","Codi_tipus_dia","Desc_tipus_dia","Valor_IMD"
2019,"10011",11,2,"Laborable",3506
2019,"10011",11,3,"Divendres",3805
2019,"10011",11,4,"Dissabte",2579
2019,"10011",11,5,"Diumenge",1638
2019,"10011",12,1,"Dilluns",3455
2019,"10011",12,2,"Laborable",3660
2019,"10011",12,3,"Divendres",3596
2019,"10011",12,4,"Dissabte",2418
2019,"10011",12,5,"Diumenge",1796
2019,"10012",1,1,"Dilluns",5917
2019,"10012",1,2,"Laborable",6159
2019,"10012",1,3,"Divendres",6475
2019,"10012",1,4,"Dissabte",4568
2019,"10012",1,5,"Diumenge",3642
2019,"10012",2,1,"Dilluns",6128
2019,"10012",2,2,"Laborable",6209
2019,"10012",2,3,"Divendres",6485
2019,"10012",2,4,"Dissabte",4762
2019,"10012",2,5,"Diumenge",3655
2019,"10012",3,1,"Dilluns",5971
2019,"10012",3,2,"Laborable",6217
2019,"10012",3,3,"Divendres",6637
2019,"10012",3,4,"Dissabte",4772
2019,"10012",3,5,"Diumenge",3848
2019,"10012",4,1,"Dilluns",6040
2019,"10012",4,2,"Laborable",6113
2019,"10012",4,3,"Divendres",6665
2019,"10012",4,4,"Dissabte",4548
2019,"10012",4,5,"Diumenge",3336
2019,"10012",5,1,"Dilluns",6196
2019,"10012",5,2,"Laborable",6387
2019,"10012",5,3,"Divendres",6781
2019,"10012",5,4,"Dissabte",4779
2019,"10012",5,5,"Diumenge",3932
2019,"10012",6,1,"Dilluns",6212
2019,"10012",6,2,"Laborable",6491
2019,"10012",6,3,"Divendres",6814
2019,"10012",6,4,"Dissabte",5057
2019,"10012",6,5,"Diumenge",3739
2019,"10012",7,1,"Dilluns",6242
2019,"10012",7,2,"Laborable",6370
2019,"10012",7,3,"Divendres",6502
2019,"10012",7,4,"Dissabte",4692
2019,"10012",7,5,"Diumenge",3791
2019,"10012",8,1,"Dilluns",4977
2019,"10012",8,2,"Laborable",4984
2019,"10012",8,3,"Divendres",5159
2019,"10012",8,4,"Dissabte",3932
2019,"10012",8,5,"Diumenge",3278
2019,"10012",9,1,"Dilluns",6257
2019,"10012",9,2,"Laborable",6218
2019,"10012",9,3,"Divendres",6341
2019,"10012",9,4,"Dissabte",4486
2019,"10012",9,5,"Diumenge",3596
2019,"10012",10,1,"Dilluns",6291
2019,"10012",10,2,"Laborable",6530
2019,"10012",10,3,"Divendres",6150
